Mo,Da,Hr,Space_Heating_cz1_themrs,Water_Heating_cz1_therms,Space_Heating_cz1_kWh,Water_Heating_cz1_kWh,Space_Heating_cz6_kWh,Space_Heating_cz6_kWh,Water_Heating_cz6_kWh
1,7,21,0.0340854,0,0.0226222,0,0,0,0
1,7,22,0.0397499,0,0.0264632,0,0,0,0
1,7,23,0.0459981,0,0.0307011,0,0.0129745,0,0
1,7,24,0,0,0,0,0,0,0
1,8,1,0,0,0,0,0,0,0
1,8,2,0,0,0,0,0,0,0
1,8,3,0,0,0,0,0,0,0
1,8,4,0,0,0,0,0,0,0
1,8,5,0,0,0,0,0,0,0
1,8,6,0,0,0,0,0,0,0
1,8,7,0.0256566,0.151437,0.0156699,2.02559,0.0643998,0,0
1,8,8,0.186707,0.000581116,0.1255,0.76432,0.139718,0,0
1,8,9,0.0885048,0.0198185,0.059187,0,0.0515484,0,0
1,8,10,0.0788905,0,0.0527966,0,0.0235379,0,0
1,8,11,0.0636896,0,0.0425645,0,0.00807591,0,0
1,8,12,0.0547475,0,0.0365434,0,0.000643801,0,0
1,8,13,0.0499711,0,0.0333306,0,0,0,0
1,8,14,0.0480719,0.00494049,0.0320613,0,0,0,0
1,8,15,0.0462078,0.000349073,0.0308086,0,0,0,0
1,8,16,0.0429396,0,0.0286,0,0,0,0
1,8,17,0.0385734,0.00575163,0.0256484,0,0,0,0
1,8,18,0.0312903,0.0387622,0.0207393,0,0,0,2.80354
1,8,19,0.0251971,0.0478906,0.016644,0,0,0,0
1,8,20,0.00743516,0.079284,0.00463584,1.27538,0,0,0
1,8,21,0,0.38723,0,2.95911,0,0,1.57623
1,8,22,0.0095702,0.0223762,0.00583778,3.92424,0,0,4.42732
1,8,23,0.00026456,0.0764446,5.40E-05,0,0,0,0
1,8,24,0,0.00133677,0,0,0,0,0
1,9,1,0,0,0,0,0,0,0
1,9,2,0,0,0,0,0,0,0
1,9,3,0,0,0,0,0,0,0
1,9,4,0,0,0,0,0,0,0
1,9,5,0,0,0,0,0,0,0
1,9,6,0,0,0,0,0,0,0
1,9,7,0,0,0,0,0.00427096,0,0
1,9,8,0.158656,0.000440103,0.105426,0,0.119672,0,0
1,9,9,0.0780297,0.00903792,0.0519792,0,0.0505683,0,0
1,9,10,0.0733496,0,0.0489894,0,0.0222158,0,0
1,9,11,0.0673926,0,0.0450551,0,0.00313719,0,0
1,9,12,0.0617001,0,0.0412623,0,0,0,0
1,9,13,0.0599067,0,0.0400876,0,0,0,0
1,9,14,0.0597779,0,0.0400273,0,0,0,0
1,9,15,0.0324772,0,0.0215535,0,0,0,0
1,9,16,0.0411828,0,0.0274575,0,0,0,0
1,9,17,0.0438301,0.00507608,0.0292562,0,0,0,0
1,9,18,0.0410927,0,0.0274088,0,0,0,0
1,9,19,0.037896,0.00761396,0.0252501,0,0,0,0
1,9,20,0.0352664,0.0044667,0.0234785,0,0,0,0
1,9,21,0.0346051,0,0.0230389,0,0,0,0
1,9,22,0.0377327,0.110649,0.0251453,3.18634,0,0,2.78483
1,9,23,0.0442508,0,0.0294774,0,7.74E-05,0,0
1,9,24,0,0,0,0,0,0,0
1,10,1,0,0,0,0,0,0,0
1,10,2,0,0,0,0,0,0,0
1,10,3,0,0.017023,0,0,0,0,0
1,10,4,0,0,0,0,0,0,0
1,10,5,0,0,0,0,0,0,0
1,10,6,0,0,0,0,0,0,0
1,10,7,0.102521,0,0.0675199,0,0.0265634,0,0
1,10,8,0.23759,0.00278841,0.159981,0,0.119095,0,0
1,10,9,0.112403,0.00110568,0.0753872,0,0.0341067,0,0
1,10,10,0.08443,0.0935108,0.0565692,0,0.0101502,0,0
1,10,11,0.0585304,0.101755,0.0391175,3.06005,0,0,2.4007
1,10,12,0.0274767,0.252235,0.0180708,0.975287,0,0,1.11328
1,10,13,0.0377195,0.0396726,0.0250513,2.34275,0,0,1.96746
1,10,14,0.0261718,0.0420882,0.0172435,0,0,0,0
1,10,15,0.0374288,0.0155754,0.0249049,0,0,0,0
1,10,16,0.0495869,0,0.0331568,0,0,0,0
1,10,17,0.0534898,0.178166,0.0358382,3.60106,0,0,3.13889
1,10,18,0.0490509,0.04614,0.0327412,0.0730325,0,0,0
1,10,19,0.0443221,0.0116167,0.0295586,0,0,0,0
1,10,20,0.0423432,0.0251593,0.02824,0,0,0,0
1,10,21,0.0432629,0.0396854,0.0288846,0,0,0,0
1,10,22,0.0460846,0,0.0308277,0,0,0,0
1,10,23,0.0535398,0,0.0358886,0,0,0,0
1,10,24,0,0,0,0,0,0,0
1,11,1,0,0.00482756,0,0,0,0,0
1,11,2,0,0,0,0,0,0,0
1,11,3,0,0,0,0,0,0,0
1,11,4,0,0,0,0,0,0,0
1,11,5,0,0,0,0,0,0,0
1,11,6,0,0,0,0,0,0,0
1,11,7,0.124561,0,0.0828165,0,0.0058947,0,0
1,11,8,0.245478,0.0124501,0.165565,0,0.110618,0,0
1,11,9,0.105626,0,0.071029,0,0.0282414,0,0
1,11,10,0.0577841,0.00529305,0.0386902,0,0.00499856,0,0
1,11,11,0.0282643,0.0313016,0.0187327,0.075022,0,0,0
1,11,12,0.000707948,0.102762,0.000370522,3.31416,0,0,2.47572
1,11,13,0,0.0459637,0,0,0,0,1.09302
1,11,14,0,0.072135,0,0,0,0,0
1,11,15,0,0.0049457,0,0,0,0,0
1,11,16,0,0.0777753,0,3.20909,0,0,0
1,11,17,0,0.0136083,0,0,0,0,0
1,11,18,0.0243465,0.000755285,0.014926,0,0,0,0
1,11,19,0.0277136,0.00651282,0.0179283,0,0,0,0
1,11,20,0.033083,0,0.0217281,0,0,0,0
1,11,21,0.0424248,0.00494368,0.0281098,0,0,0,2.56455
1,11,22,0.0466955,0,0.0310448,0,0,0,0
1,11,23,0.0540374,0,0.0360557,0,0,0,0
1,11,24,0,0.00709645,0,0,0,0,0
1,12,1,0,0,0,0,0,0,0
1,12,2,0,0,0,0,0,0,0
1,12,3,0,0,0,0,0,0,0
1,12,4,0,0,0,0,0,0,0
1,12,5,0,0,0,0,0,0,0
1,12,6,0,0.00922537,0,0,0,0,0
1,12,7,0.0597675,0.0723629,0.0386295,0,0,0,0
1,12,8,0.206902,0.108174,0.13929,3.15091,0.032286,0,2.40958
1,12,9,0.107784,0,0.0722479,0.0643567,0.00500777,0,0
1,12,10,0.0920709,0.00347573,0.0617163,0,0,0,0
1,12,11,0.0801777,0,0.0537236,0,0,0,0
1,12,12,0.070302,0,0.0470698,0,0,0,0
1,12,13,0.0626381,0.0118789,0.0419071,0,0,0,0
1,12,14,0.0530911,0,0.0354557,0,0,0,0
1,12,15,0.0467374,0,0.0311606,0,0,0,0
1,12,16,0.0361511,0,0.0239977,0,0,0,0
1,12,17,0.0411467,0,0.0273729,0,0,0,0
1,12,18,0.0384799,0.0054983,0.0255654,0,0,0,0
1,12,19,0.0352687,0.0163182,0.0234123,0,0,0,0
1,12,20,0.0321551,0.00202647,0.0213129,0,0,0,0
1,12,21,0.0323446,0.0428822,0.0214537,0,0,0,0
1,12,22,0.0370902,0.0027828,0.0247061,0,0,0,0
1,12,23,0.0450456,0,0.0301076,0,0,0,0
1,12,24,0,0,0,0,0,0,0
1,13,1,0,0,0,0,0,0,0
1,13,2,0,0,0,0,0,0,0
1,13,3,0,0,0,0,0,0,0
1,13,4,0,0,0,0,0,0,0
1,13,5,0,0,0,0,0,0,0
1,13,6,0,0,0,0,0,0,0
1,13,7,0.0697853,0.00192723,0.0457691,0,0,0,0
1,13,8,0.222088,0.109643,0.149673,0.300088,0.0980434,0,0.150044
1,13,9,0.060555,0.102294,0.0403872,4.03596,0.00475721,0,3.36336
1,13,10,0.0164808,0.0522832,0.0105347,0,0,0,0
1,13,11,0.0249079,0,0.0163401,0,0,0,0
1,13,12,0.0252075,0.0208596,0.0165726,0,0,0,0
1,13,13,0.0297174,0.120351,0.0196867,0.375111,0,0,0.300088
1,13,14,0.0211028,0.0376924,0.0138276,2.71035,0,0,2.68397
1,13,15,0.0289177,0,0.0190639,0,0,0,0
1,13,16,0.0399433,0.00254353,0.0265457,0,0,0,0
1,13,17,0.0417187,0.143624,0.0277771,1.57546,0,0,0
1,13,18,0.0280202,0.219365,0.018513,3.21923,0,0,3.67608
1,13,19,0.0135385,0.0454315,0.00868526,0,0,0,1.01671
1,13,20,0.020106,0.0109869,0.0131459,0,0,0,0
1,13,21,0.0313527,0.000498105,0.0207841,0,0,0,0
1,13,22,0.033403,0.157616,0.0222116,2.02559,0,0,0
1,13,23,0.0398756,0.0210333,0.0265307,0.950522,0,0,0.150044
1,13,24,0,0.0459823,0,0,0,0,2.16839
1,14,1,0,0.00309119,0,0,0,0,0
1,14,2,0,0.00574219,0,0,0,0,0
1,14,3,0,0,0,0,0,0,0
1,14,4,0,0,0,0,0,0,0
1,14,5,0,0.000829967,0,0,0,0,0
1,14,6,0,0.0196623,0,0,0,0,0
1,14,7,0.0153864,0,0.00842981,0,0,0,0
1,14,8,0.186441,0.0116615,0.12565,0,0.037607,0,0
1,14,9,0.085156,0.014201,0.0570774,0,0.00180637,0,0
1,14,10,0.0716918,0.0110491,0.048053,0,0,0,0
1,14,11,0.06554,0,0.0439338,0,0,0,0
1,14,12,0.0601243,0.196259,0.0403496,1.57546,0,0,1.42542
1,14,13,0.0572708,0,0.0383561,2.98397,0,0,2.16071
1,14,14,0.051919,0,0.0346665,0,0,0,0
1,14,15,0.0508899,0.0754936,0.0339956,0,0,0,0
1,14,16,0.0392249,0.0469845,0.0261353,0,0,0,0
1,14,17,0.0288083,0.036645,0.0191306,0,0,0,0
1,14,18,0.0336283,0.00309522,0.0224126,0,0,0,0
1,14,19,0.0347398,0.003423,0.0231778,0,0,0,0
1,14,20,0.030972,0.098481,0.0205842,3.56219,0,0,3.08347
1,14,21,0.0311563,0.0488108,0.02062,0,0,0,0
